# bin,bin_content
0.0000e+00,4.1343e-01
2.0000e-02,7.0671e-03
4.0000e-02,1.2367e-02
6.0000e-02,1.0071e-02
8.0000e-02,9.3640e-03
1.0000e-01,8.6572e-03
1.2000e-01,8.6572e-03
1.4000e-01,7.7739e-03
1.6000e-01,7.7739e-03
1.8000e-01,7.2438e-03
2.0000e-01,7.2438e-03
2.2000e-01,8.1272e-03
2.4000e-01,6.7138e-03
2.6000e-01,6.7138e-03
2.8000e-01,5.1237e-03
3.0000e-01,5.1237e-03
3.2000e-01,5.8304e-03
3.4000e-01,5.6537e-03
3.6000e-01,6.3604e-03
3.8000e-01,4.9470e-03
4.0000e-01,5.6537e-03
4.2000e-01,6.0071e-03
4.4000e-01,5.1237e-03
4.6000e-01,4.7703e-03
4.8000e-01,4.5936e-03
5.0000e-01,6.7138e-03
5.2000e-01,4.5936e-03
5.4000e-01,4.9470e-03
5.6000e-01,4.2403e-03
5.8000e-01,3.7102e-03
6.0000e-01,4.4170e-03
6.2000e-01,5.4770e-03
6.4000e-01,4.7703e-03
6.6000e-01,5.8304e-03
6.8000e-01,4.2403e-03
7.0000e-01,4.7703e-03
7.2000e-01,4.0636e-03
7.4000e-01,3.7102e-03
7.6000e-01,3.3569e-03
7.8000e-01,6.3604e-03
8.0000e-01,4.4170e-03
8.2000e-01,3.3569e-03
8.4000e-01,4.0636e-03
8.6000e-01,6.5371e-03
8.8000e-01,5.6537e-03
9.0000e-01,5.1237e-03
9.2000e-01,1.0071e-02
9.4000e-01,6.1837e-03
9.6000e-01,8.1272e-03
9.8000e-01,2.9488e-01
