# bin,bin_content
0.0000e+00,5.6728e-01
2.0000e-02,3.1799e-02
4.0000e-02,2.3730e-02
6.0000e-02,1.3882e-02
8.0000e-02,1.1984e-02
1.0000e-01,7.5937e-03
1.2000e-01,8.4243e-03
1.4000e-01,6.1699e-03
1.6000e-01,7.1191e-03
1.8000e-01,4.1528e-03
2.0000e-01,4.7461e-03
2.2000e-01,3.9155e-03
2.4000e-01,5.1020e-03
2.6000e-01,4.0342e-03
2.8000e-01,3.9155e-03
3.0000e-01,3.2036e-03
3.2000e-01,4.2715e-03
3.4000e-01,3.9155e-03
3.6000e-01,3.9155e-03
3.8000e-01,3.7969e-03
4.0000e-01,3.7969e-03
4.2000e-01,3.9155e-03
4.4000e-01,3.9155e-03
4.6000e-01,4.0342e-03
4.8000e-01,4.1528e-03
5.0000e-01,2.9663e-03
5.2000e-01,3.5596e-03
5.4000e-01,3.7969e-03
5.6000e-01,3.0850e-03
5.8000e-01,3.0850e-03
6.0000e-01,4.2715e-03
6.2000e-01,3.5596e-03
6.4000e-01,3.7969e-03
6.6000e-01,3.2036e-03
6.8000e-01,2.7290e-03
7.0000e-01,3.7969e-03
7.2000e-01,3.0850e-03
7.4000e-01,5.1020e-03
7.6000e-01,3.4409e-03
7.8000e-01,3.3223e-03
8.0000e-01,4.7461e-03
8.2000e-01,3.7969e-03
8.4000e-01,4.5088e-03
8.6000e-01,5.4580e-03
8.8000e-01,5.5766e-03
9.0000e-01,5.6953e-03
9.2000e-01,7.5937e-03
9.4000e-01,6.6445e-03
9.6000e-01,7.3564e-03
9.8000e-01,1.5306e-01
