# bin,bin_content
-3.3200e+00,0.0000e+00
-3.1800e+00,0.0000e+00
-3.0400e+00,0.0000e+00
-2.9000e+00,3.3223e-03
-2.7600e+00,3.4409e-03
-2.6200e+00,6.2886e-03
-2.4800e+00,1.3645e-02
-2.3400e+00,2.7409e-02
-2.2000e+00,5.0664e-02
-2.0600e+00,7.6531e-02
-1.9200e+00,7.8785e-02
-1.7800e+00,5.6716e-02
-1.6400e+00,3.6308e-02
-1.5000e+00,3.5240e-02
-1.3600e+00,4.4139e-02
-1.2200e+00,6.2767e-02
-1.0800e+00,8.1870e-02
-9.4000e-01,9.9312e-02
-8.0000e-01,1.0050e-01
-6.6000e-01,1.0085e-01
-5.2000e-01,6.7869e-02
-3.8000e-01,3.6189e-02
-2.4000e-01,9.3735e-03
