# bin,bin_content
0.0000e+00,4.0890e-01
2.0000e-02,2.8069e-02
4.0000e-02,3.0804e-02
6.0000e-02,2.6760e-02
8.0000e-02,2.1289e-02
1.0000e-01,2.2122e-02
1.2000e-01,1.9624e-02
1.4000e-01,1.6175e-02
1.6000e-01,1.3559e-02
1.8000e-01,1.2726e-02
2.0000e-01,1.1656e-02
2.2000e-01,9.7526e-03
2.4000e-01,9.2769e-03
2.6000e-01,9.6337e-03
2.8000e-01,7.3739e-03
3.0000e-01,8.6822e-03
3.2000e-01,6.0657e-03
3.4000e-01,8.5633e-03
3.6000e-01,6.4225e-03
3.8000e-01,7.2550e-03
4.0000e-01,6.7793e-03
4.2000e-01,7.3739e-03
4.4000e-01,3.9248e-03
4.6000e-01,4.7574e-03
4.8000e-01,4.6384e-03
5.0000e-01,4.1627e-03
5.2000e-01,4.6384e-03
5.4000e-01,3.2112e-03
5.6000e-01,4.2816e-03
5.8000e-01,3.0923e-03
6.0000e-01,3.9248e-03
6.2000e-01,4.1627e-03
6.4000e-01,4.0438e-03
6.6000e-01,5.1142e-03
6.8000e-01,4.6384e-03
7.0000e-01,3.9248e-03
7.2000e-01,4.0438e-03
7.4000e-01,3.8059e-03
7.6000e-01,2.4976e-03
7.8000e-01,4.2816e-03
8.0000e-01,4.2816e-03
8.2000e-01,4.1627e-03
8.4000e-01,5.3520e-03
8.6000e-01,5.1142e-03
8.8000e-01,5.4710e-03
9.0000e-01,6.4225e-03
9.2000e-01,5.2331e-03
9.4000e-01,7.4929e-03
9.6000e-01,7.1361e-03
9.8000e-01,1.7733e-01
