# bin,bin_content
-1.6000e+00,0.0000e+00
-1.4600e+00,1.4914e-03
-1.3200e+00,0.0000e+00
-1.1800e+00,2.2371e-03
-1.0400e+00,2.2371e-03
-9.0000e-01,7.4571e-03
-7.6000e-01,8.9485e-03
-6.2000e-01,1.9389e-02
-4.8000e-01,4.2506e-02
-3.4000e-01,6.3386e-02
-2.0000e-01,1.1037e-01
-6.0000e-02,7.4571e-02
8.0000e-02,5.4437e-02
2.2000e-01,2.9828e-02
3.6000e-01,2.3863e-02
5.0000e-01,2.9083e-02
6.4000e-01,4.1014e-02
7.8000e-01,5.3691e-02
9.2000e-01,6.0403e-02
1.0600e+00,8.7994e-02
1.2000e+00,8.9485e-02
1.3400e+00,7.2334e-02
1.4800e+00,5.9657e-02
1.6200e+00,2.9083e-02
1.7600e+00,1.5660e-02
1.9000e+00,1.1186e-02
2.0400e+00,2.9828e-03
2.1800e+00,1.4914e-03
2.3200e+00,3.7286e-03
2.4600e+00,0.0000e+00
