# bin,bin_content
-3.3200e+00,0.0000e+00
-3.1800e+00,0.0000e+00
-3.0400e+00,0.0000e+00
-2.9000e+00,4.4170e-03
-2.7600e+00,4.9470e-03
-2.6200e+00,1.4311e-02
-2.4800e+00,2.8799e-02
-2.3400e+00,4.8940e-02
-2.2000e+00,8.1625e-02
-2.0600e+00,1.1802e-01
-1.9200e+00,1.1696e-01
-1.7800e+00,6.8905e-02
-1.6400e+00,3.9576e-02
-1.5000e+00,2.4382e-02
-1.3600e+00,2.5618e-02
-1.2200e+00,3.1802e-02
-1.0800e+00,3.8693e-02
-9.4000e-01,4.9293e-02
-8.0000e-01,5.6360e-02
-6.6000e-01,6.3074e-02
-5.2000e-01,6.5371e-02
-3.8000e-01,5.2120e-02
-2.4000e-01,3.4629e-02
