# bin,bin_content
-1.6000e+00,0.0000e+00
-1.4600e+00,5.9326e-04
-1.3200e+00,1.3052e-03
-1.1800e+00,1.7798e-03
-1.0400e+00,2.3730e-03
-9.0000e-01,4.6274e-03
-7.6000e-01,6.1699e-03
-6.2000e-01,1.3645e-02
-4.8000e-01,2.8595e-02
-3.4000e-01,5.1495e-02
-2.0000e-01,7.5344e-02
-6.0000e-02,6.5971e-02
8.0000e-02,4.8291e-02
2.2000e-01,2.7053e-02
3.6000e-01,2.7646e-02
5.0000e-01,3.7731e-02
6.4000e-01,5.8495e-02
7.8000e-01,8.5667e-02
9.2000e-01,1.0750e-01
1.0600e+00,1.0738e-01
1.2000e+00,1.0536e-01
1.3400e+00,7.6887e-02
1.4800e+00,3.9037e-02
1.6200e+00,1.6967e-02
1.7600e+00,4.7461e-03
1.9000e+00,1.7798e-03
2.0400e+00,1.1865e-03
2.1800e+00,2.3730e-04
2.3200e+00,1.1865e-04
2.4600e+00,1.1865e-04
